Resolution,Refresh Rate (Hz),Pixel Clock (MHz),Horizontal (pixel clocks),,,,Vertical (rows),,,,Hsync Polarity,Vsync Polarity
,,,Display,Front Porch,Sync Pulse,Back Porch,Display,Front Porch,Sync Pulse,Back Porch,,
640x350,70,25.175,640,16,96,48,350,37,2,60,p,n
640x350,85,31.5,640,32,64,96,350,32,3,60,p,n
640x400,70,25.175,640,16,96,48,400,12,2,35,n,p
640x400,85,31.5,640,32,64,96,400,1,3,41,n,p
640x480,60,25.175,640,16,96,48,480,10,2,33,n,n
640x480,73,31.5,640,24,40,128,480,9,2,29,n,n
640x480,75,31.5,640,16,64,120,480,1,3,16,n,n
640x480,85,36,640,56,56,80,480,1,3,25,n,n
640x480,100,43.16,640,40,64,104,480,1,3,25,n,p
720x400,85,35.5,720,36,72,108,400,1,3,42,n,p
768x576,60,34.96,768,24,80,104,576,1,3,17,n,p
768x576,72,42.93,768,32,80,112,576,1,3,21,n,p
768x576,75,45.51,768,40,80,120,576,1,3,22,n,p
768x576,85,51.84,768,40,80,120,576,1,3,25,n,p
768x576,100,62.57,768,48,80,128,576,1,3,31,n,p
800x600,56,36,800,24,72,128,600,1,2,22,p,p
800x600,60,40,800,40,128,88,600,1,4,23,p,p
800x600,75,49.5,800,16,80,160,600,1,3,21,p,p
800x600,72,50,800,56,120,64,600,37,6,23,p,p
800x600,85,56.25,800,32,64,152,600,1,3,27,p,p
800x600,100,68.18,800,48,88,136,600,1,3,32,n,p
1024x768,43,44.9,1024,8,176,56,768,0,8,41,p,p
1024x768,60,65,1024,24,136,160,768,3,6,29,n,n
1024x768,70,75,1024,24,136,144,768,3,6,29,n,n
1024x768,75,78.8,1024,16,96,176,768,1,3,28,p,p
1024x768,85,94.5,1024,48,96,208,768,1,3,36,p,p
1024x768,100,113.31,1024,72,112,184,768,1,3,42,n,p
1152x864,75,108,1152,64,128,256,864,1,3,32,p,p
1152x864,85,119.65,1152,72,128,200,864,1,3,39,n,p
1152x864,100,143.47,1152,80,128,208,864,1,3,47,n,p
1152x864,60,81.62,1152,64,120,184,864,1,3,27,n,p
1280x1024,60,108,1280,48,112,248,1024,1,3,38,p,p
1280x1024,75,135,1280,16,144,248,1024,1,3,38,p,p
1280x1024,85,157.5,1280,64,160,224,1024,1,3,44,p,p
1280x1024,100,190.96,1280,96,144,240,1024,1,3,57,n,p
1280x800,60,83.46,1280,64,136,200,800,1,3,24,n,p
1280x960,60,102.1,1280,80,136,216,960,1,3,30,n,p
1280x960,72,124.54,1280,88,136,224,960,1,3,37,n,p
1280x960,75,129.86,1280,88,136,224,960,1,3,38,n,p
1280x960,85,148.5,1280,64,160,224,960,1,3,47,p,p
1280x960,100,178.99,1280,96,144,240,960,1,3,53,n,p
1368x768,60,85.86,1368,72,144,216,768,1,3,23,n,p
1400x1050,60,122.61,1400,88,152,240,1050,1,3,33,n,p
1400x1050,72,149.34,1400,96,152,248,1050,1,3,40,n,p
1400x1050,75,155.85,1400,96,152,248,1050,1,3,42,n,p
1400x1050,85,179.26,1400,104,152,256,1050,1,3,49,n,p
1400x1050,100,214.39,1400,112,152,264,1050,1,3,58,n,p
1440x900,60,106.47,1440,80,152,232,900,1,3,28,n,p
1600x1200,60,162,1600,64,192,304,1200,1,3,46,p,p
1600x1200,65,175.5,1600,64,192,304,1200,1,3,46,p,p
1600x1200,70,189,1600,64,192,304,1200,1,3,46,p,p
1600x1200,75,202.5,1600,64,192,304,1200,1,3,46,p,p
1600x1200,85,229.5,1600,64,192,304,1200,1,3,46,p,p
1600x1200,100,280.64,1600,128,176,304,1200,1,3,67,n,p
1680x1050,60,147.14,1680,104,184,288,1050,1,3,33,n,p
1792x1344,60,204.8,1792,128,200,328,1344,1,3,46,n,p
1792x1344,75,261,1792,96,216,352,1344,1,3,69,n,p
1856x1392,60,218.3,1856,96,224,352,1392,1,3,43,n,p
1856x1392,75,288,1856,128,224,352,1392,1,3,104,n,p
1920x1200,60,193.16,1920,128,208,336,1200,1,3,38,n,p
1920x1440,60,234,1920,128,208,344,1440,1,3,56,n,p
1920x1440,75,297,1920,144,224,352,1440,1,3,56,n,p
